player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
645261,"Alcantara, Sandy",88.6,11.1,6.6,0.26,0.309
693821,"Elder, Bryce",89.5,13.1,3.8,0.233,0.283
650911,"Sánchez, Cristopher",89.3,1.6,9.1,0.222,0.271
668678,"Gallen, Zac",91.0,11.3,9.6,0.301,0.364
607259,"Martinez, Nick",86.8,15.5,6.6,0.283,0.329
608379,"Wacha, Michael",89.0,16.2,6.2,0.255,0.322
669923,"Kirby, George",89.4,9.2,6.3,0.253,0.299
543135,"Eovaldi, Nathan",88.4,9.9,9.1,0.254,0.327
669358,"Baz, Shane",90.4,13.5,8.7,0.27,0.338
681347,"Burrows, Mike",88.1,15.2,9.1,0.261,0.336
608372,"Sugano, Tomoyuki",90.8,15.3,14.5,0.314,0.403
671096,"Abbott, Andrew",89.8,17.5,6.9,0.266,0.339
605488,"Springs, Jeffrey",87.7,16.2,9.3,0.243,0.318
592332,"Gausman, Kevin",88.1,16.3,7.7,0.231,0.284
676440,"Bibee, Tanner",90.6,16.1,10.2,0.259,0.336
593958,"Rodriguez, Eduardo",88.4,13.5,8.2,0.264,0.341
664285,"Valdez, Framber",90.1,9.3,7.0,0.259,0.334
607625,"Lugo, Seth",90.2,16.0,11.2,0.279,0.355
669194,"Nelson, Ryne",90.6,20.1,10.7,0.263,0.357
700241,"McGreevy, Michael",89.5,11.1,9.6,0.292,0.363
642547,"Peralta, Freddy",87.7,13.4,5.4,0.235,0.303
607067,"Rea, Colin",90.3,12.5,12.1,0.281,0.368
656605,"Keller, Mitch",88.4,12.9,6.7,0.286,0.346
547179,"Lorenzen, Michael",89.6,10.7,9.2,0.302,0.366
680736,"Wrobleski, Justin",90.0,15.2,7.8,0.263,0.32
693433,"Woo, Bryan",89.6,19.0,7.3,0.234,0.286
693645,"Schlittler, Cam",88.0,11.8,6.5,0.22,0.265
681190,"Vásquez, Randy",91.3,17.9,13.0,0.292,0.38
677944,"Cecconi, Slade",88.0,13.0,7.9,0.266,0.33
677952,"Ashcraft, Braxton",89.9,13.3,5.7,0.22,0.275
647336,"Soroka, Michael",87.7,17.0,8.3,0.248,0.307
571945,"Mikolas, Miles",89.3,11.7,9.6,0.266,0.336
641793,"Littell, Zack",92.5,19.4,11.1,0.291,0.384
808967,"Yamamoto, Yoshinobu",88.5,9.5,7.1,0.237,0.287
667755,"Soriano, José",88.2,7.0,8.5,0.234,0.317
605288,"Houser, Adrian",90.9,11.8,9.9,0.277,0.359
684007,"Imanaga, Shota",88.9,18.0,10.8,0.226,0.302
672456,"Montero, Keider",89.7,21.1,8.6,0.234,0.301
676974,"Meyer, Max",89.8,14.7,8.2,0.23,0.306
656492,"Griffin, Foster",88.3,13.2,11.8,0.247,0.325
813349,"Early, Connelly",90.5,13.1,11.4,0.241,0.331
683004,"Leiter, Jack",88.0,16.4,10.0,0.252,0.333
657277,"Webb, Logan",90.0,4.2,5.5,0.256,0.302
657746,"Ryan, Joe",89.7,19.2,10.5,0.216,0.281
669432,"Rogers, Trevor",89.4,18.3,6.8,0.261,0.326
666200,"Luzardo, Jesús",86.3,7.4,6.4,0.231,0.293
676106,"Hancock, Emerson",90.5,13.1,10.6,0.255,0.329
676917,"Cavalli, Cade",89.0,10.0,7.9,0.254,0.326
668909,"Williams, Gavin",91.1,9.7,12.5,0.244,0.329
650633,"King, Michael",87.2,14.5,10.2,0.245,0.33
669302,"Gilbert, Logan",90.8,17.8,11.6,0.249,0.317
669461,"Liberatore, Matthew",91.5,13.6,10.2,0.285,0.359
605400,"Nola, Aaron",88.2,13.2,9.3,0.258,0.327
518876,"Kelly, Merrill",90.0,15.3,15.0,0.306,0.403
641927,"Ober, Bailey",87.9,23.1,9.8,0.245,0.323
702070,"Cameron, Noah",89.0,16.6,9.3,0.261,0.32
607200,"Fedde, Erick",88.6,16.3,8.9,0.252,0.331
